
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dlp-sensor,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","","enable","","disable","","disable","disable","","disable","","","all","disable","","it-ot-vdom-interlink","","disable","","","","","","flow","disable","","","","","","disable","","","","","","disable","","","all","disable","allow-ot-int","enable","disable","disable","","2","","","","default","","","always","ALL_ICMP DNS HTTPS","disable","all","disable","","v-ot-data v-ot-mgmt v-ot-spare","no-inspection","enable","0x00","0x00","","","","disable","68c84c68-3c9b-51f0-f939-384d1676f00c","","","","","","","disable","","","","16777215","16","","","","1970-01-01 08:00:00",,"1970-01-01 08:00:00",,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","","all","disable","","v-ot-data","","","","","","","","flow","disable","","","","","","disable","","","","","","","","","all","disable","allow-ot-mgmt-data","disable","disable","disable","","3","","","","default","","","always","ALL","disable","all","disable","","v-ot-mgmt","no-inspection","enable","0x00","0x00","","","","disable","127762b6-3e0a-51f0-f3e3-90fc77c3691e","","","","","","","disable","","","","16777215","16","","","","1970-01-01 08:00:00",,"1970-01-01 08:00:00",,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","","all","disable","","v-ot-mgmt","","","","","","","","flow","disable","","","","","","disable","","","","","","","","","all","disable","allow-ot-data-mgmt","disable","disable","disable","","4","","","","default","","","always","ALL","disable","all","disable","","v-ot-data","no-inspection","enable","0x00","0x00","","","","disable","2e750090-3e0a-51f0-0703-2207798ede60","","","","","","","disable","","","","16777215","16","","","","1970-01-01 08:00:00",,"1970-01-01 08:00:00",,"","","","","","[All Devices/Groups]"

IPv4 Local In Policy

IPv4 Interface Policy
